2023-11-02 12:01:10 startup archives unpack
2023-11-02 12:01:19 install dotnet-host-7.0:amd64 <none> 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:19 status half-installed dotnet-host-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:20 status triggers-pending man-db:amd64 2.10.2-1
2023-11-02 12:01:21 status unpacked dotnet-host-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:22 install dotnet-hostfxr-7.0:amd64 <none> 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:22 status half-installed dotnet-hostfxr-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:22 status unpacked dotnet-hostfxr-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:24 install liblttng-ust-common1:amd64 <none> 2.13.1-1ubuntu1
2023-11-02 12:01:24 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.4
2023-11-02 12:01:24 status half-installed liblttng-ust-common1:amd64 2.13.1-1ubuntu1
2023-11-02 12:01:24 status unpacked liblttng-ust-common1:amd64 2.13.1-1ubuntu1
2023-11-02 12:01:26 install liblttng-ust-ctl5:amd64 <none> 2.13.1-1ubuntu1
2023-11-02 12:01:26 status half-installed liblttng-ust-ctl5:amd64 2.13.1-1ubuntu1
2023-11-02 12:01:26 status unpacked liblttng-ust-ctl5:amd64 2.13.1-1ubuntu1
2023-11-02 12:01:28 install liblttng-ust1:amd64 <none> 2.13.1-1ubuntu1
2023-11-02 12:01:28 status half-installed liblttng-ust1:amd64 2.13.1-1ubuntu1
2023-11-02 12:01:29 status unpacked liblttng-ust1:amd64 2.13.1-1ubuntu1
2023-11-02 12:01:29 install dotnet-runtime-7.0:amd64 <none> 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:29 status half-installed dotnet-runtime-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:31 status unpacked dotnet-runtime-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:32 install aspnetcore-runtime-7.0:amd64 <none> 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:32 status half-installed aspnetcore-runtime-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:34 status unpacked aspnetcore-runtime-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:34 install aspnetcore-targeting-pack-7.0:amd64 <none> 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:34 status half-installed aspnetcore-targeting-pack-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:35 status unpacked aspnetcore-targeting-pack-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:35 install dotnet-apphost-pack-7.0:amd64 <none> 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:35 status half-installed dotnet-apphost-pack-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:36 status unpacked dotnet-apphost-pack-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:36 install dotnet-targeting-pack-7.0:amd64 <none> 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:36 status half-installed dotnet-targeting-pack-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:38 status unpacked dotnet-targeting-pack-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:38 install dotnet-templates-7.0:amd64 <none> 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:38 status half-installed dotnet-templates-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:39 status unpacked dotnet-templates-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:39 install netstandard-targeting-pack-2.1-7.0:amd64 <none> 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:39 status half-installed netstandard-targeting-pack-2.1-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:40 status unpacked netstandard-targeting-pack-2.1-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:40 install dotnet-sdk-7.0:amd64 <none> 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:40 status half-installed dotnet-sdk-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:46 status unpacked dotnet-sdk-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:46 startup packages configure
2023-11-02 12:01:46 configure aspnetcore-targeting-pack-7.0:amd64 7.0.113-0ubuntu1~22.04.1 <none>
2023-11-02 12:01:46 status unpacked aspnetcore-targeting-pack-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:46 status half-configured aspnetcore-targeting-pack-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:46 status installed aspnetcore-targeting-pack-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:46 configure liblttng-ust-common1:amd64 2.13.1-1ubuntu1 <none>
2023-11-02 12:01:46 status unpacked liblttng-ust-common1:amd64 2.13.1-1ubuntu1
2023-11-02 12:01:46 status half-configured liblttng-ust-common1:amd64 2.13.1-1ubuntu1
2023-11-02 12:01:47 status installed liblttng-ust-common1:amd64 2.13.1-1ubuntu1
2023-11-02 12:01:47 configure dotnet-host-7.0:amd64 7.0.113-0ubuntu1~22.04.1 <none>
2023-11-02 12:01:47 status unpacked dotnet-host-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:47 status half-configured dotnet-host-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:48 status installed dotnet-host-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:48 configure dotnet-templates-7.0:amd64 7.0.113-0ubuntu1~22.04.1 <none>
2023-11-02 12:01:48 status unpacked dotnet-templates-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:48 status half-configured dotnet-templates-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:49 status installed dotnet-templates-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:49 configure dotnet-targeting-pack-7.0:amd64 7.0.113-0ubuntu1~22.04.1 <none>
2023-11-02 12:01:49 status unpacked dotnet-targeting-pack-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:49 status half-configured dotnet-targeting-pack-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:49 status installed dotnet-targeting-pack-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:49 configure dotnet-apphost-pack-7.0:amd64 7.0.113-0ubuntu1~22.04.1 <none>
2023-11-02 12:01:49 status unpacked dotnet-apphost-pack-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:50 status half-configured dotnet-apphost-pack-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:50 status installed dotnet-apphost-pack-7.0:amd64 7.0.113-0ubuntu1~22.04.1
2023-11-02 12:01:50 configure liblttng-ust-ctl5:amd64 2.13.1-1ubuntu1 <none>
2023-11-02 12:01:50 status unpacked liblttng-ust-ctl5:amd64 2.13.1-1ubuntu1
2023-11-02 12:01:50 status half-configured liblttng-ust-ctl5:amd64 2.13.1-1ubuntu1
2023-11-02 12:01:50 status installed liblttng-ust-ctl5:amd64 2.13.1-1ubuntu1
